 

stn;time;tre200s0;rre150z0
NABBER;202209030050;15.5;0.0
NABBER;202209030100;15.4;0.0
NABBER;202209030110;15.5;0.0
NABBER;202209030120;15.5;0.0
NABBER;202209030130;15.4;0.2
NABBER;202209030140;15.5;0.0
NABBER;202209030150;15.5;0.0
NABBER;202209030200;15.4;0.0
NABBER;202209030210;15.6;0.1
NABBER;202209030220;15.4;0.2
NABBER;202209030230;15.2;0.3
NABBER;202209030240;15.3;0.4
NABBER;202209030250;15.4;0.6
NABBER;202209030300;15.4;0.6
NABBER;202209030310;15.5;0.7
NABBER;202209030320;15.5;0.3
NABBER;202209030330;15.2;0.6
NABBER;202209030340;15.0;0.4
NABBER;202209030350;15.0;0.3
NABBER;202209030400;15.0;0.1
NABBER;202209030410;15.0;0.0
NABBER;202209030420;15.2;0.0
NABBER;202209030430;15.2;0.1
NABBER;202209030440;15.2;0.0
NABBER;202209030450;15.1;0.0
NABBER;202209030500;15.4;0.0
NABBER;202209030510;15.2;0.0
NABBER;202209030520;15.0;0.0
NABBER;202209030530;15.1;0.0
NABBER;202209030540;15.2;0.0
NABBER;202209030550;15.2;0.0
NABBER;202209030600;15.1;0.0
NABBER;202209030610;15.4;0.0
NABBER;202209030620;15.6;0.0
NABBER;202209030630;15.9;0.0
NABBER;202209030640;16.1;0.0
NABBER;202209030650;16.6;0.0
NABBER;202209030700;16.7;0.0
NABBER;202209030710;16.6;0.0
NABBER;202209030720;16.9;0.0
NABBER;202209030730;16.9;0.0
NABBER;202209030740;16.8;0.0
NABBER;202209030750;16.8;0.0
NABBER;202209030800;16.7;0.3
NABBER;202209030810;16.4;0.4
NABBER;202209030820;16.3;0.3
NABBER;202209030830;16.2;0.5
NABBER;202209030840;16.1;0.3
NABBER;202209030850;16.5;0.0
NABBER;202209030900;16.6;0.0
NABBER;202209030910;16.2;0.3
NABBER;202209030920;16.0;0.2
NABBER;202209030930;16.2;0.5
NABBER;202209030940;15.9;1.1
NABBER;202209030950;15.9;0.1
NABBER;202209031000;16.0;0.7
NABBER;202209031010;16.3;0.0
NABBER;202209031020;16.6;0.0
NABBER;202209031030;17.5;0.0
NABBER;202209031040;17.6;0.0
NABBER;202209031050;17.8;0.0
NABBER;202209031100;18.1;0.0
NABBER;202209031110;18.1;0.0
NABBER;202209031120;17.7;0.0
NABBER;202209031130;17.4;0.3
NABBER;202209031140;17.5;0.0
NABBER;202209031150;17.8;0.0
NABBER;202209031200;18.4;0.0
NABBER;202209031210;18.8;0.0
NABBER;202209031220;19.2;0.0
NABBER;202209031230;19.5;0.0
NABBER;202209031240;19.4;0.0
NABBER;202209031250;19.6;0.0
NABBER;202209031300;19.7;0.0
NABBER;202209031310;19.9;0.0
NABBER;202209031320;20.2;0.0
NABBER;202209031330;20.2;0.0
NABBER;202209031340;20.4;0.0
NABBER;202209031350;20.6;0.0
NABBER;202209031400;20.6;0.0
NABBER;202209031410;20.3;0.0
NABBER;202209031420;20.3;0.0
NABBER;202209031430;20.4;0.0
NABBER;202209031440;20.7;0.0
NABBER;202209031450;20.7;0.0
NABBER;202209031500;20.8;0.0
NABBER;202209031510;20.9;0.0
NABBER;202209031520;21.1;0.0
NABBER;202209031530;21.1;0.0
NABBER;202209031540;21.2;0.0
NABBER;202209031550;21.5;0.0
NABBER;202209031600;21.4;0.0
NABBER;202209031610;21.4;0.0
NABBER;202209031620;21.1;0.0
NABBER;202209031630;21.1;0.0
NABBER;202209031640;21.3;0.0
NABBER;202209031650;21.1;0.0
NABBER;202209031700;20.9;0.0
NABBER;202209031710;20.9;0.0
NABBER;202209031720;20.9;0.0
NABBER;202209031730;20.9;0.0
NABBER;202209031740;20.6;0.0
NABBER;202209031750;20.5;0.0
NABBER;202209031800;20.3;0.0
NABBER;202209031810;19.9;0.0
NABBER;202209031820;19.9;0.0
NABBER;202209031830;19.6;0.0
NABBER;202209031840;19.3;0.0
NABBER;202209031850;19.0;0.0
NABBER;202209031900;18.6;0.0
NABBER;202209031910;18.5;0.0
NABBER;202209031920;18.5;0.0
NABBER;202209031930;18.3;0.0
NABBER;202209031940;18.1;0.0
NABBER;202209031950;18.0;0.0
NABBER;202209032000;17.9;0.0
NABBER;202209032010;17.9;0.0
NABBER;202209032020;17.9;0.0
NABBER;202209032030;17.8;0.0
NABBER;202209032040;17.7;0.0
NABBER;202209032050;17.7;0.0
NABBER;202209032100;17.7;0.0
NABBER;202209032110;17.6;0.0
NABBER;202209032120;17.6;0.0
NABBER;202209032130;17.6;0.0
NABBER;202209032140;17.4;0.0
NABBER;202209032150;17.3;0.0
NABBER;202209032200;17.2;0.0
NABBER;202209032210;17.2;0.0
NABBER;202209032220;17.2;0.0
NABBER;202209032230;17.1;0.0
NABBER;202209032240;17.1;0.0
NABBER;202209032250;17.1;0.0
NABBER;202209032300;16.9;0.0
NABBER;202209032310;16.8;0.0
NABBER;202209032320;16.7;0.0
NABBER;202209032330;16.6;0.0
NABBER;202209032340;16.7;0.0
NABBER;202209032350;16.6;0.0
NABBER;202209040000;16.5;0.0
NABBER;202209040010;16.2;0.0
NABBER;202209040020;15.8;0.0
NABBER;202209040030;15.8;0.0
NABBER;202209040040;15.6;0.0
NABBER;202209040050;15.7;0.0
NABBER;202209040100;15.6;0.0
NABBER;202209040110;15.7;0.0
NABBER;202209040120;15.7;0.0
NABBER;202209040130;15.7;0.0
NABBER;202209040140;15.6;0.0
NABBER;202209040150;15.5;0.0
NABBER;202209040200;15.5;0.0
NABBER;202209040210;15.5;0.0
NABBER;202209040220;15.3;0.0
NABBER;202209040230;15.2;0.0
NABBER;202209040240;15.1;0.0
NABBER;202209040250;14.8;0.0
NABBER;202209040300;14.6;0.0
NABBER;202209040310;14.6;0.0
NABBER;202209040320;14.6;0.0
NABBER;202209040330;14.6;0.0
NABBER;202209040340;14.5;0.0
NABBER;202209040350;14.5;0.0
NABBER;202209040400;14.4;0.0
NABBER;202209040410;14.5;0.0
NABBER;202209040420;14.3;0.0
NABBER;202209040430;14.1;0.0

stn;time;tre200s0;rre150z0
BER;202209010000;14.2;0.0
BER;202209010010;14.0;0.0
BER;202209010020;13.8;0.0
BER;202209010030;13.9;0.0
BER;202209010040;13.7;0.0
BER;202209010050;13.9;0.0
BER;202209010100;14.1;0.0
BER;202209010110;13.9;0.0
BER;202209010120;13.6;0.0
BER;202209010130;13.8;0.0
BER;202209010140;13.5;0.0
BER;202209010150;13.4;0.0
BER;202209010200;13.5;0.0
BER;202209010210;12.6;0.0
BER;202209010220;13.0;0.0
BER;202209010230;12.3;0.0
BER;202209010240;13.1;0.0
BER;202209010250;13.1;0.0
BER;202209010300;13.1;0.0
BER;202209010310;13.6;0.0
BER;202209010320;13.1;0.0
BER;202209010330;13.2;0.0
BER;202209010340;13.2;0.0
BER;202209010350;13.4;0.0
BER;202209010400;13.5;0.0
BER;202209010410;13.5;0.0
BER;202209010420;13.4;0.0
BER;202209010430;13.4;0.0
BER;202209010440;13.4;0.0
BER;202209010450;13.4;0.0
BER;202209010500;13.2;0.0
BER;202209010510;13.3;0.0
BER;202209010520;13.1;0.0
BER;202209010530;13.1;0.0
BER;202209010540;13.1;0.0
BER;202209010550;13.4;0.0
BER;202209010600;13.5;0.0
BER;202209010610;13.6;0.0
BER;202209010620;13.7;0.0
BER;202209010630;13.6;0.0
BER;202209010640;13.8;0.0
BER;202209010650;13.9;0.0
BER;202209010700;14.2;0.0
BER;202209010710;14.4;0.0
BER;202209010720;14.6;0.0
BER;202209010730;15.0;0.0
BER;202209010740;15.4;0.0
BER;202209010750;15.8;0.0
BER;202209010800;15.8;0.0
BER;202209010810;16.3;0.0
BER;202209010820;16.4;0.0
BER;202209010830;16.4;0.0
BER;202209010840;16.6;0.0
BER;202209010850;17.1;0.0
BER;202209010900;17.4;0.0
BER;202209010910;17.0;0.0
BER;202209010920;17.6;0.0
BER;202209010930;17.4;0.0
BER;202209010940;18.5;0.0
BER;202209010950;18.1;0.0
BER;202209011000;18.7;0.0
BER;202209011010;18.3;0.0
BER;202209011020;18.5;0.0
BER;202209011030;18.1;0.0
BER;202209011040;18.9;0.0
BER;202209011050;19.4;0.0
BER;202209011100;18.2;0.0
BER;202209011110;19.1;0.0
BER;202209011120;19.3;0.0
BER;202209011130;20.0;0.0
BER;202209011140;20.3;0.0
BER;202209011150;20.6;0.0
BER;202209011200;20.3;0.0
BER;202209011210;20.7;0.0
BER;202209011220;20.7;0.0
BER;202209011230;20.6;0.0
BER;202209011240;21.2;0.0
BER;202209011250;20.6;0.0
BER;202209011300;21.1;0.0
BER;202209011310;20.9;0.0
BER;202209011320;21.6;0.0
BER;202209011330;21.1;0.0
BER;202209011340;21.2;0.0
BER;202209011350;21.4;0.0
BER;202209011400;21.2;0.0
BER;202209011410;21.7;0.0
BER;202209011420;21.9;0.0
BER;202209011430;21.6;0.0
BER;202209011440;21.1;0.0
BER;202209011450;21.0;0.0
BER;202209011500;20.9;0.0
BER;202209011510;21.5;0.0
BER;202209011520;21.5;0.0
BER;202209011530;20.5;0.0
BER;202209011540;20.5;0.0
BER;202209011550;20.4;0.0
BER;202209011600;20.4;0.0
BER;202209011610;20.7;0.0
BER;202209011620;20.7;0.0
BER;202209011630;20.7;0.0
BER;202209011640;20.4;0.0
BER;202209011650;20.3;0.0
BER;202209011700;20.2;0.0
BER;202209011710;19.8;0.0
BER;202209011720;19.6;0.0
BER;202209011730;19.1;0.0
BER;202209011740;19.1;0.0
BER;202209011750;18.9;0.0
BER;202209011800;18.9;0.0
BER;202209011810;18.5;0.0
BER;202209011820;18.3;0.0
BER;202209011830;17.8;0.0
BER;202209011840;17.4;0.0
BER;202209011850;17.0;0.0
BER;202209011900;17.0;0.0
BER;202209011910;16.4;0.0
BER;202209011920;16.6;0.0
BER;202209011930;16.1;0.0
BER;202209011940;15.8;0.0
BER;202209011950;15.7;0.0
BER;202209012000;15.5;0.0
BER;202209012010;15.5;0.0
BER;202209012020;15.3;0.0
BER;202209012030;15.3;0.0
BER;202209012040;15.1;0.0
BER;202209012050;14.9;0.0
BER;202209012100;15.1;0.0
BER;202209012110;14.6;0.0
BER;202209012120;14.7;0.0
BER;202209012130;14.5;0.0
BER;202209012140;13.3;0.0
BER;202209012150;12.8;0.0
BER;202209012200;12.4;0.0
BER;202209012210;12.7;0.0
BER;202209012220;12.4;0.0
BER;202209012230;13.1;0.0
BER;202209012240;12.8;0.0
BER;202209012250;12.9;0.0
BER;202209012300;12.2;0.0
BER;202209012310;12.5;0.0
BER;202209012320;11.8;0.0
BER;202209012330;11.8;0.0
BER;202209012340;12.2;0.0
BER;202209012350;11.7;0.0
BER;202209020000;11.4;0.0
BER;202209020010;11.8;0.0
BER;202209020020;11.6;0.0
BER;202209020030;11.4;0.0
BER;202209020040;11.5;0.0
BER;202209020050;11.2;0.0
BER;202209020100;11.0;0.0
BER;202209020110;11.2;0.0
BER;202209020120;10.6;0.0
BER;202209020130;10.4;0.0
BER;202209020140;10.4;0.0
BER;202209020150;10.4;0.0
BER;202209020200;10.5;0.0
BER;202209020210;11.3;0.0
BER;202209020220;11.1;0.0
BER;202209020230;10.3;0.0
BER;202209020240;10.4;0.0
BER;202209020250;10.4;0.0
BER;202209020300;10.2;0.0
BER;202209020310;10.4;0.0
BER;202209020320;10.4;0.0
BER;202209020330;9.8;0.0
BER;202209020340;10.2;0.0
BER;202209020350;9.7;0.0
BER;202209020400;10.9;0.0
BER;202209020410;9.9;0.0
BER;202209020420;9.6;0.0
BER;202209020430;10.3;0.0
BER;202209020440;10.2;0.0
BER;202209020450;9.5;0.0
BER;202209020500;9.9;0.0
BER;202209020510;9.3;0.0
BER;202209020520;10.2;0.0
BER;202209020530;10.3;0.0
BER;202209020540;10.5;0.0
BER;202209020550;11.2;0.0
BER;202209020600;11.7;0.0
BER;202209020610;11.9;0.0
BER;202209020620;12.3;0.0
BER;202209020630;12.8;0.0
BER;202209020640;13.2;0.0
BER;202209020650;14.1;0.0
BER;202209020700;14.0;0.0
BER;202209020710;14.3;0.0
BER;202209020720;14.8;0.0
BER;202209020730;14.9;0.0
BER;202209020740;14.7;0.0
BER;202209020750;15.3;0.0
BER;202209020800;15.6;0.0
BER;202209020810;15.5;0.0
BER;202209020820;15.7;0.0
BER;202209020830;15.9;0.0
BER;202209020840;15.9;0.0
BER;202209020850;15.9;0.0
BER;202209020900;16.5;0.0
BER;202209020910;16.8;0.0
BER;202209020920;17.5;0.0
BER;202209020930;18.0;0.0
BER;202209020940;19.0;0.0
BER;202209020950;18.7;0.0
BER;202209021000;19.4;0.0
BER;202209021010;20.1;0.0
BER;202209021020;20.8;0.0
BER;202209021030;20.9;0.0
BER;202209021040;21.6;0.0
BER;202209021050;20.8;0.0
BER;202209021100;21.7;0.0
BER;202209021110;21.4;0.0
BER;202209021120;21.6;0.0
BER;202209021130;22.0;0.0
BER;202209021140;22.5;0.0
BER;202209021150;22.9;0.0
BER;202209021200;23.5;0.0
