 

stn;time;gre000z0
NABBER;202209040450;-4
NABBER;202209040500;-1
NABBER;202209040510;4
NABBER;202209040520;15
NABBER;202209040530;20
NABBER;202209040540;47
NABBER;202209040550;87
NABBER;202209040600;136
NABBER;202209040610;155
NABBER;202209040620;87
NABBER;202209040630;102
NABBER;202209040640;158
NABBER;202209040650;318
NABBER;202209040700;383
NABBER;202209040710;299
NABBER;202209040720;177
NABBER;202209040730;254
NABBER;202209040740;386
NABBER;202209040750;404
NABBER;202209040800;482
NABBER;202209040810;552
NABBER;202209040820;304
NABBER;202209040830;304
NABBER;202209040840;556
NABBER;202209040850;471
NABBER;202209040900;381
NABBER;202209040910;400
NABBER;202209040920;564
NABBER;202209040930;695
NABBER;202209040940;747
NABBER;202209040950;736
NABBER;202209041000;734
NABBER;202209041010;743
NABBER;202209041020;755
NABBER;202209041030;770
NABBER;202209041040;777
NABBER;202209041050;794
NABBER;202209041100;790
NABBER;202209041110;796
NABBER;202209041120;800
NABBER;202209041130;800
NABBER;202209041140;801
NABBER;202209041150;802
NABBER;202209041200;802
NABBER;202209041210;796
NABBER;202209041220;791
NABBER;202209041230;783
NABBER;202209041240;772
NABBER;202209041250;768
NABBER;202209041300;756
NABBER;202209041310;744
NABBER;202209041320;724
NABBER;202209041330;602
NABBER;202209041340;645
NABBER;202209041350;675
NABBER;202209041400;651
NABBER;202209041410;628
NABBER;202209041420;608
NABBER;202209041430;582
NABBER;202209041440;558
NABBER;202209041450;531
NABBER;202209041500;504
NABBER;202209041510;477
NABBER;202209041520;447
NABBER;202209041530;418
NABBER;202209041540;388
NABBER;202209041550;358
NABBER;202209041600;328
NABBER;202209041610;297
NABBER;202209041620;266
NABBER;202209041630;235
NABBER;202209041640;204
NABBER;202209041650;172
NABBER;202209041700;142
NABBER;202209041710;114
NABBER;202209041720;85
NABBER;202209041730;59
NABBER;202209041740;22
NABBER;202209041750;4
NABBER;202209041800;-1
NABBER;202209041810;-6
NABBER;202209041820;-9
NABBER;202209041830;-9
NABBER;202209041840;-10
NABBER;202209041850;-10
NABBER;202209041900;-9
NABBER;202209041910;-9
NABBER;202209041920;-9
NABBER;202209041930;-9
NABBER;202209041940;-9
NABBER;202209041950;-8
NABBER;202209042000;-8
NABBER;202209042010;-9
NABBER;202209042020;-9
NABBER;202209042030;-9
NABBER;202209042040;-9
NABBER;202209042050;-9
NABBER;202209042100;-8
NABBER;202209042110;-8
NABBER;202209042120;-8
NABBER;202209042130;-7
NABBER;202209042140;-7
NABBER;202209042150;-7
NABBER;202209042200;-7
NABBER;202209042210;-7
NABBER;202209042220;-7
NABBER;202209042230;-6
NABBER;202209042240;-6
NABBER;202209042250;-6
NABBER;202209042300;-6
NABBER;202209042310;-6
NABBER;202209042320;-6
NABBER;202209042330;-7
NABBER;202209042340;-7
NABBER;202209042350;-6
NABBER;202209050000;-6
NABBER;202209050010;-6
NABBER;202209050020;-6
NABBER;202209050030;-6
NABBER;202209050040;-6
NABBER;202209050050;-5
NABBER;202209050100;-6
NABBER;202209050110;-7
NABBER;202209050120;-7
NABBER;202209050130;-6
NABBER;202209050140;-6
NABBER;202209050150;-6
NABBER;202209050200;-5
NABBER;202209050210;-6
NABBER;202209050220;-6
NABBER;202209050230;-6
NABBER;202209050240;-7
NABBER;202209050250;-7
NABBER;202209050300;-8
NABBER;202209050310;-7
NABBER;202209050320;-7
NABBER;202209050330;-6
NABBER;202209050340;-6
NABBER;202209050350;-6
NABBER;202209050400;-6
NABBER;202209050410;-6
NABBER;202209050420;-6
NABBER;202209050430;-6

stn;time;gre000z0
BER;202209020000;0
BER;202209020010;0
BER;202209020020;0
BER;202209020030;0
BER;202209020040;0
BER;202209020050;0
BER;202209020100;0
BER;202209020110;0
BER;202209020120;0
BER;202209020130;0
BER;202209020140;0
BER;202209020150;0
BER;202209020200;0
BER;202209020210;0
BER;202209020220;0
BER;202209020230;0
BER;202209020240;0
BER;202209020250;0
BER;202209020300;0
BER;202209020310;0
BER;202209020320;0
BER;202209020330;0
BER;202209020340;0
BER;202209020350;0
BER;202209020400;0
BER;202209020410;0
BER;202209020420;0
BER;202209020430;0
BER;202209020440;0
BER;202209020450;2
BER;202209020500;6
BER;202209020510;13
BER;202209020520;21
BER;202209020530;30
BER;202209020540;70
BER;202209020550;101
BER;202209020600;127
BER;202209020610;154
BER;202209020620;180
BER;202209020630;193
BER;202209020640;235
BER;202209020650;261
BER;202209020700;301
BER;202209020710;241
BER;202209020720;377
BER;202209020730;391
BER;202209020740;197
BER;202209020750;214
BER;202209020800;557
BER;202209020810;309
BER;202209020820;193
BER;202209020830;430
BER;202209020840;153
BER;202209020850;190
BER;202209020900;374
BER;202209020910;566
BER;202209020920;623
BER;202209020930;690
BER;202209020940;705
BER;202209020950;720
BER;202209021000;734
BER;202209021010;746
BER;202209021020;757
BER;202209021030;762
BER;202209021040;776
BER;202209021050;795
BER;202209021100;833
BER;202209021110;768
BER;202209021120;793
BER;202209021130;785
BER;202209021140;800
BER;202209021150;732
BER;202209021200;736
BER;202209021210;698
BER;202209021220;585
BER;202209021230;658
BER;202209021240;615
BER;202209021250;518
BER;202209021300;311
BER;202209021310;221
BER;202209021320;167
BER;202209021330;131
BER;202209021340;92
BER;202209021350;99
BER;202209021400;100
BER;202209021410;90
BER;202209021420;78
BER;202209021430;111
BER;202209021440;170
BER;202209021450;149
BER;202209021500;113
BER;202209021510;72
BER;202209021520;75
BER;202209021530;74
BER;202209021540;94
BER;202209021550;90
BER;202209021600;70
BER;202209021610;53
BER;202209021620;51
BER;202209021630;61
BER;202209021640;61
BER;202209021650;59
BER;202209021700;57
BER;202209021710;75
BER;202209021720;101
BER;202209021730;100
BER;202209021740;65
BER;202209021750;46
BER;202209021800;31
BER;202209021810;7
BER;202209021820;0
BER;202209021830;0
BER;202209021840;0
BER;202209021850;0
BER;202209021900;0
BER;202209021910;0
BER;202209021920;0
BER;202209021930;0
BER;202209021940;0
BER;202209021950;0
BER;202209022000;0
BER;202209022010;0
BER;202209022020;0
BER;202209022030;0
BER;202209022040;0
BER;202209022050;0
BER;202209022100;0
BER;202209022110;0
BER;202209022120;0
BER;202209022130;0
BER;202209022140;0
BER;202209022150;0
BER;202209022200;0
BER;202209022210;0
BER;202209022220;0
BER;202209022230;0
BER;202209022240;0
BER;202209022250;0
BER;202209022300;0
BER;202209022310;0
BER;202209022320;0
BER;202209022330;0
BER;202209022340;0
BER;202209022350;0
BER;202209030000;0
BER;202209030010;0
BER;202209030020;0
BER;202209030030;0
BER;202209030040;0
BER;202209030050;0
BER;202209030100;0
BER;202209030110;0
BER;202209030120;0
BER;202209030130;0
BER;202209030140;0
BER;202209030150;0
BER;202209030200;0
BER;202209030210;0
BER;202209030220;0
BER;202209030230;0
BER;202209030240;0
BER;202209030250;0
BER;202209030300;0
BER;202209030310;0
BER;202209030320;0
BER;202209030330;0
BER;202209030340;0
BER;202209030350;0
BER;202209030400;0
BER;202209030410;0
BER;202209030420;0
